market,origin,dest,OriginAirport,DestinationAirport,market_key
DXB-DEL,DXB,DEL,68682240,67439616,68682240-67439616
BKK-LCY,BKK,LCY,34278144,201529600,34278144-201529600
DEL-LCY,DEL,LCY,67439616,201529600,67439616-201529600
MAD-LCY,MAD,LCY,218170368,201529600,218170368-201529600
ORY-MAD,ORY,MAD,252844288,218170368,252844288-218170368
TLV-CDG,TLV,CDG,336336384,50595584,336336384-50595584
LAS-LAX,LAS,LAX,201396992,201398272,201396992-201398272
BKK-LAX,BKK,LAX,34278144,201398272,34278144-201398272
OAK-LAX,OAK,LAX,251726592,201398272,251726592-201398272
PBI-LGA,PBI,LGA,268568832,201785600,268568832-201785600
CGK-IST,CGK,IST,50793216,152245248,50793216-152245248
BOM-BKK,BOM,BKK,34540800,34278144,34540800-34278144
GYD-VKO,GYD,VKO,119079936,369823488,119079936-369823488
HND-SGN,HND,SGN,135136256,319229440,135136256-319229440
STN-BOM,STN,BOM,320081408,34540800,320081408-34540800
BKK-SYD,BKK,SYD,34278144,320406528,34278144-320406528
SJC-LGA,SJC,LGA,319423232,201785600,319423232-201785600
LHR-BLR,LHR,BLR,201855488,34345472,201855488-34345472
ORD-LGA,ORD,LGA,252838912,201785600,252838912-201785600
TPE-SIN,TPE,SIN,336594176,319360512,336594176-319360512
DXB-SAW,DXB,SAW,68682240,318838528,68682240-318838528
LGW-ISB,LGW,ISB,201791232,152240640,201791232-152240640
GMP-CJU,GMP,CJU,118296576,50992384,118296576-50992384
OOL-MEL,OOL,MEL,252644352,218434560,252644352-218434560
SJC-EWR,SJC,EWR,319423232,85398016,319423232-85398016
BKK-CGK,BKK,CGK,34278144,50793216,34278144-50793216
BOM-BLR,BOM,BLR,34540800,34345472,34540800-34345472
SAW-DXB,SAW,DXB,318838528,68682240,318838528-68682240
DEL-DPS,DEL,DPS,67439616,68162304,67439616-68162304
STN-TLV,STN,TLV,320081408,336336384,320081408-336336384
OPO-CDG,OPO,CDG,252710656,50595584,252710656-50595584
AMS-IST,AMS,IST,17634048,152245248,17634048-152245248
DEL-CCU,DEL,CCU,67439616,50533632,67439616-50533632
MAA-DXB,MAA,DXB,218169600,68682240,218169600-68682240
LED-SAW,LED,SAW,201655296,318838528,201655296-318838528
IST-BKK,IST,BKK,152245248,34278144,152245248-34278144
LCY-NRT,LCY,NRT,201529600,236065792,201529600-236065792
MAN-HKG,MAN,HKG,218172928,134940416,218172928-134940416
LGW-KUL,LGW,KUL,201791232,185928704,201791232-185928704
GOI-DEL,GOI,DEL,118425856,67439616,118425856-67439616
XNB-SVO,XNB,SVO,403571200,320212736,403571200-320212736
CDG-DXB,CDG,DXB,50595584,68682240,50595584-68682240
DPS-ICN,DPS,ICN,68162304,151195136,68162304-151195136
AYT-SAW,AYT,SAW,18420736,318838528,18420736-318838528
ICN-IST,ICN,IST,151195136,152245248,151195136-152245248
MXP-ORY,MXP,ORY,219680768,252844288,219680768-252844288
MEL-PER,MEL,PER,218434560,268767744,218434560-268767744
LGW-COK,LGW,COK,201791232,51317504,201791232-51317504
LGA-SJC,LGA,SJC,201785600,319423232,201785600-319423232
TPE-ONT,TPE,ONT,336594176,252580864,336594176-252580864
LGA-ATL,LGA,ATL,201785600,18091008,201785600-18091008
LCY-HND,LCY,HND,201529600,135136256,201529600-135136256
CPH-LGW,CPH,LGW,51382272,201791232,51382272-201791232
DFW-JFK,DFW,JFK,67507968,168168192,67507968-168168192
CAI-RUH,CAI,RUH,50399488,303368192,50399488-303368192
LHR-KTM,LHR,KTM,201855488,185863424,201855488-185863424
PVG-YYZ,PVG,YYZ,269879040,421075456,269879040-421075456
SEA-SFO,SEA,SFO,319095040,319164160,319095040-319164160
VKO-CMB,VKO,CMB,369823488,51184128,369823488-51184128
TLV-LCY,TLV,LCY,336336384,201529600,336336384-201529600
IST-ORY,IST,ORY,152245248,252844288,152245248-252844288
TPE-HAN,TPE,HAN,336594176,134286848,336594176-134286848
SYD-ADL,SYD,ADL,320406528,17042432,320406528-17042432
LAS-BUR,LAS,BUR,201396992,34935296,201396992-34935296
PNQ-DEL,PNQ,DEL,269357312,67439616,269357312-67439616
VKO-DEL,VKO,DEL,369823488,67439616,369823488-67439616
JFK-BCN,JFK,BCN,168168192,33754624,168168192-33754624
